sample	region	M1	MU1
MEDAL-115_TIS_Tumor	1:4715474-4715641	301	5907
MEDAL-115_TIS_Tumor	1:6515335-6515526	1907	14419
MEDAL-115_TIS_Tumor	1:12123133-12123268	265	1624
MEDAL-115_TIS_Tumor	1:13910066-13910077	9	267
MEDAL-115_TIS_Tumor	1:18967848-18967989	1121	3308
MEDAL-115_TIS_Tumor	1:18969662-18969880	863	8430
MEDAL-115_TIS_Tumor	1:20878916-20879200	214	15363
MEDAL-115_TIS_Tumor	1:26551991-26552253	775	7333
MEDAL-115_TIS_Tumor	1:26737792-26737968	407	7650
MEDAL-115_TIS_Tumor	1:29586399-29586727	4914	9415
MEDAL-115_TIS_Tumor	1:32237936-32238111	120	5294
MEDAL-115_TIS_Tumor	1:35351027-35351131	256	3073
MEDAL-115_TIS_Tumor	1:38219611-38220017	2249	20439
MEDAL-115_TIS_Tumor	1:39269981-39270301	1661	17812
MEDAL-115_TIS_Tumor	1:44883731-44883868	805	2857
MEDAL-115_TIS_Tumor	1:47696616-47696741	1347	2607
MEDAL-115_TIS_Tumor	1:50881714-50882012	522	7990
MEDAL-115_TIS_Tumor	1:50886774-50887060	4606	34874
MEDAL-115_TIS_Tumor	1:50892361-50892648	1747	16081
MEDAL-115_TIS_Tumor	1:50893483-50893648	1497	7141
MEDAL-115_TIS_Tumor	1:57888136-57888230	846	9266
MEDAL-115_TIS_Tumor	1:57889468-57889765	1108	28089
MEDAL-115_TIS_Tumor	1:62660570-62660594	306	544
MEDAL-115_TIS_Tumor	1:63787149-63787334	1641	5140
MEDAL-115_TIS_Tumor	1:63791963-63792140	842	4124
MEDAL-115_TIS_Tumor	1:63795929-63796097	1154	7080
MEDAL-115_TIS_Tumor	1:65731831-65731892	1002	1600
MEDAL-115_TIS_Tumor	1:66258436-66258614	174	9507
MEDAL-115_TIS_Tumor	1:70034366-70034500	366	4572
MEDAL-115_TIS_Tumor	1:76080241-76080314	22	343
MEDAL-115_TIS_Tumor	1:78511974-78512267	147	12740
MEDAL-115_TIS_Tumor	1:91182138-91182661	3643	16671
MEDAL-115_TIS_Tumor	1:91183962-91184231	2223	13713
MEDAL-115_TIS_Tumor	1:91185251-91185494	1630	9471
MEDAL-115_TIS_Tumor	1:91190880-91190991	1480	3947
MEDAL-115_TIS_Tumor	1:91194503-91194602	623	1149
MEDAL-115_TIS_Tumor	1:98510743-98510760	169	649
MEDAL-115_TIS_Tumor	1:99470457-99470715	165	6780
MEDAL-115_TIS_Tumor	1:101702818-101702954	33	591
MEDAL-115_TIS_Tumor	1:103573663-103573911	646	5936
MEDAL-115_TIS_Tumor	1:107683360-107683538	357	1706
MEDAL-115_TIS_Tumor	1:108506918-108507095	61	3145
MEDAL-115_TIS_Tumor	1:108508490-108508654	78	7801
MEDAL-115_TIS_Tumor	1:110610725-110610960	3949	11392
MEDAL-115_TIS_Tumor	1:110626845-110626910	132	511
MEDAL-115_TIS_Tumor	1:110693443-110693580	255	7222
MEDAL-115_TIS_Tumor	1:114696941-114697119	681	6406
MEDAL-115_TIS_Tumor	1:119528293-119528436	185	1659
MEDAL-115_TIS_Tumor	1:119530844-119531149	907	4737
MEDAL-115_TIS_Tumor	1:119550647-119550765	1232	4838
MEDAL-115_TIS_Tumor	1:145075433-145075490	285	3106
MEDAL-115_TIS_Tumor	1:147775409-147775502	53	2142
MEDAL-115_TIS_Tumor	1:156358061-156358558	2029	32171
MEDAL-115_TIS_Tumor	1:156406129-156406277	744	6988
MEDAL-115_TIS_Tumor	1:161276312-161276323	213	257
MEDAL-115_TIS_Tumor	1:165205422-165205599	372	5298
MEDAL-115_TIS_Tumor	1:166135188-166135437	271	7653
MEDAL-115_TIS_Tumor	1:166916811-166917028	485	13377
MEDAL-115_TIS_Tumor	1:170630452-170630764	5359	20312
MEDAL-115_TIS_Tumor	1:177140356-177140496	150	2446
MEDAL-115_TIS_Tumor	1:179545395-179545464	144	735
MEDAL-115_TIS_Tumor	1:179712175-179712365	432	7752
